,name,price,days,rooms,bathrooms,capacity,date,province
0,fray mamerto esquiu 500 piso 7,20,,2,1,,25-11-2023,cordoba
1,bv mitre 500,200000,,1,,,25-11-2023,cordoba
2,gral paz 100 piso 9,400000,,2,2,,25-11-2023,cordoba
3,bv mitre 500,18000,,1,,,25-11-2023,cordoba
4,santiago derqui 100,400000,,2,2,,25-11-2023,cordoba
5,santiago derqui 100,24000,,2,,,25-11-2023,cordoba
6,bv san juan 600,17000,,1,,,25-11-2023,cordoba
7,dr achaval rodriguez 100,16000,,1,,,25-11-2023,cordoba
8,pres santiago derqui 100,24000,,1,,,25-11-2023,cordoba
9,buenos aires 500,17000,,1,,,25-11-2023,cordoba
10,dr achaval rodriguez 100,270000,,1,,,25-11-2023,cordoba
11,pres santiago derqui 100,300000,,1,,,25-11-2023,cordoba
12,buenos aires 500,300000,,1,,,25-11-2023,cordoba
13,la rioja  300 300,100,,2,1,,25-11-2023,cordoba
14,san lorenzo 500 piso 9,400000,,2,,,25-11-2023,cordoba
15,rondeau 500,18000,,1,,,25-11-2023,cordoba
16,bv arturo illia 400,280000,,1,1,,25-11-2023,cordoba
17,carcano 600 piso 1,5000,,1,1,,25-11-2023,cordoba
18,bv poniente umberto arturo illia 400,15000,,1,1,,25-11-2023,cordoba
19,lima 200,15000,,1,1,,25-11-2023,cordoba
20,dr n avellaneda 100,70,,,1,,25-11-2023,mendoza
21,alpatacal 1200,75,,1,,,25-11-2023,mendoza
22,aristides villanueva 200,30,,1,,,25-11-2023,mendoza
23,almirate brown y maipu,32000,,2,2,,25-11-2023,mendoza
24,av espana 900,,,2,,,25-11-2023,mendoza
25,alsina y aconcagua,,,2,,,25-11-2023,mendoza
26,peatonal sarmiento,,,3,,,25-11-2023,mendoza
27,zapiola y pueyrredon,,,2,1,,25-11-2023,mendoza
28,perito moreno y vergara,,,1,,,25-11-2023,mendoza
29,consultar direccion,130000,,2,1,,25-11-2023,mendoza
30,olascoaga,,,2,,,25-11-2023,mendoza
31,avenida colon,500000,,3,,,25-11-2023,mendoza
32,guaymallen,,,2,1,,25-11-2023,mendoza
33,villa nueva,,,2,1,,25-11-2023,mendoza
34,azcuenaga godoy cruz mendoza,,,,,,25-11-2023,mendoza
35,godoy cruz,,,1,1,,25-11-2023,mendoza
